Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
C210PBL,2.90E-05,0.138863992,numeric,Positive,No,Census 2010 Percent Black,Percentage of persons with black or African American race reported by the Census Bureau. ,00 - 99,,
C210HMI,0.011996447,5.23E-110,numeric,Positive,No,Census 2010 Median Household Income,The median household income for the household as reported by the Census Bureau. Values are represented in thousands. ,000 - 255 ,,
C210CIP,0.009510665,1.50E-87,numeric,Positive,No,Census 2010 Income Percentile,The median household income ranked by centile within the state as reported by the Census Bureau. Values of 00 indicate low income.  ,00 - 99,,
C210POO,0.00054873,1.22E-06,numeric,Positive,No,Census 2010 Percent Homeowner,The percent of the geographic area where persons live in a dwelling they own as reported by the Census Bureau.,00 - 99 ,,
C210HVA,0.009707697,2.50E-89,numeric,Positive,No,Census 2010 Median Home Value,The median home value as reported by the Census Bureau. Values are represented in thousands. ,000 - 999 ,,
C210PSU,2.10E-05,0.172336671,numeric,Negative,No,Census 2010 Percent Single Family Dwelling,Percentage of persons living in a single family dwelling reported by the Census Bureau. ,00 - 99 ,,
C210MOB,0.004885902,7.18E-46,numeric,Negative,No,Census 2010 Percent Mobile Homes,Percentage of persons living in a mobile home reported by the Census Bureau. ,00 - 99 ,,
C210BLU,0.003487527,2.82E-33,numeric,Negative,No,Census 2010 Percent Blue Collar Employed,"Percent of the population which is employed in a blue collar industry as reported by the Census Bureau. This is defined as an individual who is a member of the working class, performs manual labor, and earns a hourly wage. ",00 - 99,,
C210WHT,0.005043653,2.73E-47,numeric,Positive,No,Census 2010 Percent White Collar Employed,"Percent of the population which is employed in a white collar industry as reported by the Census Bureau. This is defined as an individual who is a salaried professional or an educated worker who performs semi-professional office, administrative, and sales coordination tasks.  ",00 - 99,,
C210PMR,0.000719475,3.25E-08,numeric,Positive,No,Census 2010 Percent Married,Percentage of persons married reported by the Census Bureau.,00 - 99 ,,
C210PWC,-2.23E-05,0.771435497,numeric,Negative,No,Census 2010 Percent Household with Children,Percentage of households with a child present reported by the Census Bureau. ,00 - 99,,
C210AUTO,-1.96E-05,0.659029063,numeric,Negative,No,Census 2010 Average Number of Automobiles,The average number of automobiles in the household reported by the Census Bureau. Decimal point is implied between the first and second digit. Example: 15 = 1.5 ,00 - 99,Drop 00,
C210EBI,0.01080306,3.20E-99,numeric,Positive,No,Census 2010 Median HH Effective Buying Income,"The median aftertax or disposable household income as reported by the Census Bureau. Effective Buying Income (EBI) is computed as a derivative of household income, with the correspondence between before-tax and after-tax income being identified for each state based on three-year combinations of Current Population Survey (CPS) data. ",000 - 999,,
C210PDV,0.002445513,6.99E-24,numeric,Negative,No,Census 2010 Percent Divorced or Separated,Percentage of persons divorced or separated reported by the Census Bureau. ,00 - 99 ,,
C210PMV,-1.40E-05,0.513561003,numeric,Negative,No,Census 2010 Percent Motor Vehicle Ownership,Percentage of persons who own a motor vehicle reported by the Census Bureau.,00 - 99,,
C210APVT,0.00572389,2.04E-53,numeric,Positive,No,Census 2010 Percent Above Poverty Level,The percent of families which are above the poverty level reported by the Census Bureau.,00 - 99,,
C210BPVT,0.005648942,9.67E-53,numeric,Negative,No,Census 2010 Percent Below Poverty Level,The percent of families which are below the poverty level reported by the Census Bureau. ,00 - 99,,
C210M200,8.21E-05,0.036533706,numeric,Positive,No,Census 2010 Percent Moved Since 2000,Percentage of households which moved into the geographical area in 2000 or later reported by the Census Bureau.,00 - 99,,
C210B200,0.002175984,1.90E-21,numeric,Negative,No,Census 2010 Percent Built 2000 or Later,Percentage of structures built in 2000 or later reported by the Census Bureau. ,00 - 99 ,,
C210KSES,0.01381678,1.76E-126,numeric,Positive,No,Census 2010 Socio-Economic Score,"A Socioeconomic Score indicating whether a particular geographic unit (i.e. block group) is higher than or equal to the US norm, which is 100, as reported by the Census Bureau. The scores range from 60-170 and are created by assigning weights to the household income, educational attainment, occupation and home value.",008 - 170,,
C210PDSC,0.00127599,2.68E-13,numeric,Negative,No,Census 2010 Population Density State Centile,A ranking of the population in a block group against the state population. The centile value of 1 is the most dense and centile value of 99 is the least dense.,00-99,,
C210PDUC,0.001481951,3.61E-15,numeric,Negative,No,Census 2010 Population Density US Centile,A ranking of the population in a block group against the US population. The centile value of 1 is the most dense and centile value of 99 is the least dense.,00-99,,
N2ALV,0.000427874,5.62E-05,categorical,Not Applicable,No,Census Coding Level,Indicates the level the census statistics is assigned.,"B = Block Level
T = Tract Level
Z = Zip Levl
0 = Uncoded",Drop 0,N2ALV_0
OPA,0.001716905,2.69E-17,categorical,Not Applicable,No,One Per Address,"Identifies the household that is the most likely to reside at the given address.  This internal algorithim uses data like verification date, number of sources, age of the individuals within the household and presence of a phone number.","Y = Yes
U = Uncoded",Drop U,OPA_U
VFLAG,0.000439078,1.28E-05,categorical,Positive,No,Verification Code,Indicator reporting the household at the address within the last 24 months.,"12 = Verified in last 12 months
24 = Verified in last 13-24 months
99 = Verified 25 months or more
00 = Unknown",Drop 00,VFLAG_0
PRDM,0.003683671,4.82E-35,categorical,Not Applicable,No,Mailable Record,"Indicates the record has passed quality checks at the individual and address level. These validation edits ensure the record is multi source verified based upon recency, quality of reporting source, contains an actual date of birth or an estimated age, passed USPS standards for Delivery Point Validation (DPV).","Y = Yes Mailable
U = Not Mailable",,
HHID,0.01083686,1.59E-99,numeric,Positive,Yes,Household Identification Number,, ,,
NONO2,0.010719382,1.83E-98,numeric,Positive,Yes,Individual ID Number,,,,
KLNK,2.34E-05,0.161425801,numeric,Negative,Yes,KnowledgeLINK Number,,,,
AGE_RANGE,0.019280372,3.15E-165,categorical,Not Applicable,Yes,Age Range,The age of the individual in ranges assigned using calculated age from known dates of birth.,"A - 18-20
B - 21-25
C - 26-30
D - 31-35
E - 36-40
F - 41-45
G - 46-50
H - 51-55
I - 56-60
J - 61-65
K - 66-70
L - 71-75
M - 76+",,
ESTAGE,0.000831978,7.49E-07,categorical,Not Applicable,Yes,Estimated Age,Estimated age generated from a model to predict the age of an individual when a date of birth or calculated age is not available.,"I1 = Age 18-24 
I2 = Age 25-34 
I3 = Age 35-44 
I4 = Age 45-54 
I5 = Age 55-64 
I6 = Age 65-74 
I7 = Age 75+ 
I0 = Age Unknown",Drop I0,ESTAGE_I0
GEND,-3.15E-06,0.350772692,categorical,Not Applicable,No,Gender ,Indicates the gender of the individual based on known data or gender tables.  Gender code is used from the source if available. If the original source does not provide the gender code then the KBM gender code table is used.,"  Blank
M = Male
F = Female",,
FILLER.1,NA,NA,Other,NA,Yes,#N/A,,#N/A,,
FAMP,0.005495274,1.01E-46,categorical,Not Applicable,No,Family Position Code,Indicator of an individuals position in the household based on age and gender.,"H = Husband
W = Wife
M = Male HOH
F = Female HOH
G = Grandmother
P = Grandfather
C = Child
O = Other",,
POEP,0.000471658,6.37E-06,categorical,Not Applicable,No,Presence of Elderly Parent,Indicates the presence of an individual aged 65 or older that is not considered the head of the household.,"Y = Yes
U = Unknown",Drop U,POEP_U
ILOR,1.04E-06,0.307177185,numeric,Negative,No,Length of Residence,Compilation of fields indicating the length of time the household has been reported at the address.,"00-15
00 = less than one year
99 = unknown",Drop 99,
HOMSTAT,0.00193054,3.40E-17,categorical,Not Applicable,No,Homeowner Status,Compilation of known and modeled fields indicating the property ownership status of the household.,"P = Probable Homeowner 
R = Renter 
T = Probable Renter 
U = Unknown
Y = Homeowner 
",Drop U,HOMSTAT_U
APT,0.001414606,1.42E-11,categorical,Not Applicable,No,Dwelling Type ,A value assigned at each delivery address indicating the type of structure.,"A = Multi Family Dwelling/Apartment
B = Business Address
C = Condominium
M = Private Mail Box
N = Nursing Home
P = PO Box
S = Single Family
T = Mobile Home Park
W = Slip or Marina",,
ESTINC30,0.011065723,1.38E-91,categorical,Not Applicable,No,Estimated Household Income 3.0,"A demographic based analytical model which predicts the household income.
","A = Less than $15,000 
B = $15,000-$19,999 
C = $20,000-$29,999 
D = $30,000-$39,999 
E = $40,000-$49,999 
F = $50,000-$59,999 
G = $60,000-$74,999 
H = $75,000-$99,999 
I = $100,000-$124,999 
J = $125,000-$149,999 
K = $150,000-$199,999 
L = $200,000-$249,999 
M = $250,000-$399,999 
N = $400,000-$499,999 
O = $500,000+",scale as continuous,
NETW30,0.012285848,1.52E-103,categorical,Not Applicable,No,Net Worth 3.0,"A demographic based analytical model which predicts the household net worth. Net worth is calculated by households total assets (deposit accounts, investments and home value) minus liabilities (loans, mortgages and credit card debt).
","A = $0 or Less 
B = $1 - $4,999 
C = $5,000 - $24,999 
D = $25,000 - $49,999 
E = $50,000 - $74,999 
F = $75,000 - $99,999 
G = $100,000 - $149,999 
H = $150,000 - $249,999 
I = $250,000 - $374,999 
J = $375,000 - $499,999 
K = $500,000 - $749,999 
L = $750,000 - $999,999 
M = $1,000,000 +",scale as continuous,
ZINCDEC,0.002423307,1.11E-23,numeric,Positive,No,ZIP Income Decile,The households estimated income ranked by decile (a statistical series dividing households into 10 groups) within the ZIP code. Value of 9 represents the top 10% of the high income households within the ZIP code with 0 representing the lowest. The income used is the most current version.,0-9,,
ESTDII30,3.52E-05,0.117764414,numeric,Negative,No,Dual Income Index 3.0,A demographic based analytical model which predicts the household likelihood to have more than one income.,0-9,,
MR,0.00144719,4.49E-14,categorical,Not Applicable,No,Mail Order Responder,Compilation of fields indicating an individual within the household responded to an offer though the mail.,"Y = Single Time Responder
M = Multiple Time Responder
U =  Unknown",Drop U,MR_U
MOBPLUS,0.003218916,3.73E-29,categorical,Not Applicable,No,Mail Order Buyer,Compilation of modeled and known fields indicating an individual within the household made a purchase offered through the mail.,"  BLANK
M = Multiple Mail Order Buyer
P = Probable Mail Order Buyer
Y = Mail Order Buyer
U = Unknown",Drop U,MOBPLUS_U
MARRIED,0.000173318,0.004383678,categorical,Not Applicable,No,Married,A member of the household is coded as husband or wife from family position.,"Y = Yes
U = Unknown",Drop U,MARRIED_U
NAH19,8.06E-05,0.037874587,numeric,Negative,No,Number of Adults in Household,Number of Adults age 18 and over in this household.,000-255,Drop 0,
NPH19,0.00041313,2.25E-05,numeric,Negative,No,Number of Persons in Household,"The number of individuals, adults and children, in the household.",000-255,Drop 0,
TINS,0.002885028,7.58E-28,numeric,Positive,No,Number of Reporting Sources,Number of sources reporting the individual at this address.,"Blank
001-026",Drop blank,
NOC19,0.000781857,8.67E-09,numeric,Negative,No,Number of Children,The number of children in the household.,000-255,Drop 0,
CA00,0.000155999,0.006499465,categorical,Negative,No,Children Present 00-02 Years of Age,Compilation of fields indicating the presence of a child or children ages 00-02 by gender.,"1 = Male Present
2 = Female Present
3 = Male and Female Present
4 = Unknown Gender Present
5 = Male and Unknown Gender Present
6 = Female and Unknown Gender Present
7 = Male, Female and Unknown Gender Present
0 = Uncoded",Drop 0,CA00_0
CA03,7.99E-05,0.038534923,categorical,Negative,No,Children Present 03-05 Years of Age,Compilation of fields indicating the presence of a child or children ages 03-05 by gender.,"1 = Male Present
2 = Female Present
3 = Male and Female Present
4 = Unknown Gender Present
5 = Male and Unknown Gender Present
6 = Female and Unknown Gender Present
7 = Male, Female and Unknown Gender Present
0 = Uncoded",Drop 0,CA03_0
CA06,0.000131135,0.011507539,categorical,Negative,No,Children Present 06-10 Years of Age,Compilation of fields indicating the presence of a child or children ages 06-10 by gender.,"1 = Male Present
2 = Female Present
3 = Male and Female Present
4 = Unknown Gender Present
5 = Male and Unknown Gender Present
6 = Female and Unknown Gender Present
7 = Male, Female and Unknown Gender Present
0 = Uncoded",Drop 0,CA06_0
CA11,0.000196183,0.002617294,categorical,Negative,No,Children Present 11-15 Years of Age,Compilation of fields indicating the presence of a child or children ages 11-15 by gender.,"1 = Male Present
2 = Female Present
3 = Male and Female Present
4 = Unknown Gender Present
5 = Male and Unknown Gender Present
6 = Female and Unknown Gender Present
7 = Male, Female and Unknown Gender Present
0 = Uncoded",Drop 0,CA11_0
CA16,1.33E-06,0.304466484,categorical,Negative,No,Children Present 16-18 Years of Age,Compilation of fields indicating the presence of a child or children ages 16-18 by gender.,"1 = Male Present
2 = Female Present
3 = Male and Female Present
4 = Unknown Gender Present
5 = Male and Unknown Gender Present
6 = Female and Unknown Gender Present
7 = Male, Female and Unknown Gender Present
0 = Uncoded",Drop 0,CA16_0
POC19,0.000681515,3.07E-07,categorical,Not Applicable,No,Presence of Children,Compilation of modeled and known fields indicating the presence of children within the household.,"P = Probable
U = Uncoded
Y = Yes",Drop U,POC19_U
TUOC,NA,NA,Other,NA,Yes,Individual Occupation,,See Occupation Tab,,
TUOCS,NA,NA,Other,NA,Yes,Individual Spouse Occupation ,,See Occupation Tab,,
SOHOIN,-2.43E-05,0.962748389,categorical,Not Applicable,No,SOHO Indicator Individual,Indicates an individual owns a small business or has a home office at this address.,"Y = Yes
U = Unknown",Drop U,SOHOIN_U
SOHOHH,2.17E-05,0.168994117,categorical,Not Applicable,No,SOHO Indicator Household,Indicates an individual within the household owns a small business or has a home office at this address.,"Y = Yes
U = Unknown",Drop U,SOHOHH_U
ONLA,0.000315277,0.000187898,categorical,Not Applicable,No,Online Access,Compilation of fields indicating the household has online access.,"Y = Yes
U = Unknown",Drop U,ONLA_U
TELE,0.007641991,0.000271949,numeric,Positive,Yes,Telephone Number,, ,,
CPPD,0.001266604,3.26E-13,numeric,Positive,Yes,Telephone Publication Date,,CCYYMM,,
DPVS,0.000764228,1.64E-07,categorical,Not Applicable,No,DPV Status,Delivery Point Validation (DPV) confirms that an address on the database or mail list actually exists.  It provides the flexibility to decide whether to drop flagged addresses from mailings. All mailable records are DPV verified.,"Y - DPV Validated
D - DPV confirmed with primary address (apt # missing)
S - DPV confirmed with primary address (apt # present but unconfirmed)
N - Zip+4 coded but not confirmed
X - Could not apply zip +4",,
PUBH,0.000791157,7.12E-09,categorical,Not Applicable,No,Public Housing Address,The address is coded as public/government housing.,"Y = Yes
U = Uncoded",Drop U,PUBH_U
SSON,0.000236638,0.001060811,categorical,Not Applicable,No,DSF Result - Seasonal,A seasonal address as reported by the United States Postal Service.,"Y = Yes
U = Uncoded",Drop U,SSON_U
VAC,2.08E-05,0.173520352,categorical,Not Applicable,No,DSF Result - Vacant,A vacant address as reported by the United States Postal Service.,"Y = Yes
U = Uncoded",Drop U,VAC_U
EDUC,-6.67E-06,0.394127049,categorical,Not Applicable,No,Seasonal Education Address,"Addresses identified as dormitories, sorority or fraternity houses, and apartment buildings used primarily by students.  These are not identified by the DSF Seasonal Indicator.","Y = Yes
U = Unknown",Drop U,EDUC_U
Z4HMVALU,0.003929692,2.93E-37,numeric,Positive,No,ZIP4 Home Value,The aggregated value of properties in the area coded at the ZIP+4 level.,0000 - 9999,Drop 0 (Not indicated),
CHNDISPL,2.84E-05,0.141073673,categorical,Not Applicable,No,Channel Indicator - Overall Targeted Display Indicator,"Indicates an individual is available for online display advertising.
","N = NO
Y = YES",,
CHNEMAIL,0.001853289,1.57E-18,categorical,Not Applicable,No,Channel Indicator - Email,"Indicates an individual is available for email advertising.
","N = NO
Y = YES ",,
CALAGE,0.018270477,4.52E-155,numeric,Positive,No,Age,An individuals age calculated using date of birth for each build cycle.,00-99,Drop Blank,
DOBMM,0.000219138,0.001565781,numeric,Positive,Yes,Date of Birth Month ,The month of birth for this individual.,MM = 00-12,,
DOBDD,0.000330293,0.000135392,numeric,Positive,Yes,Date of Birth Day,The day of birth for this individual.,DD = 00-31,,
DOBCCYY,0.000684508,6.81E-08,numeric,Positive,Yes,Date of Birth Year,The year of birth for this individual.,CCYY,,
CNBC,0.002399504,1.82E-23,numeric,Positive,Yes,Bank Card New Issue Date,,CCYYMM,,
BC,0.002879899,7.07E-27,categorical,Not Applicable,No,Bank Card,Compilation of fields indicating the individual received a credit card issued by a bank.,"Y = Single Bank Card
M = Multiple Bank Card
U = Unknown",Drop U,BC_U
RC,0.003585811,3.42E-33,categorical,Not Applicable,No,Retail Card,Compilation of fields indicating an individual within the household received a retail card issued by a specific retailer.,"Y = Single Retail Card
M = Multiple Retail Card
U = Unknown",Drop U,RC_U
PRESCA,0.00362922,1.49E-34,categorical,Not Applicable,No,Credit Active,An individual within the household has been reported as having a credit relationship with a store or financial institution.,"Y = Yes
U = Uncoded",Drop U,PRESCA_U
SRET,0.003796094,4.68E-36,categorical,Not Applicable,No,Credit Active - Standard Retail,An individual within the household has been reported to have a open credit relationship with a standard retail store usually found in a mall.,"Y = Yes
U = Unknown",Drop U,SRET_U
LOWD,0.001395046,2.22E-14,categorical,Not Applicable,No,Credit Active - Low End Dept Stores,An individual within the household has been reported to have a open credit relationship with a high volume low end standalone department store.,"Y = Yes
U = Unknown",Drop U,LOWD_U
MSR,0.000601717,3.96E-07,categorical,Not Applicable,No,Credit Active - Main Street Retail,An individual within the household has been reported to have a open credit relationship with a main street retail store usually found within a  town (i.e. pharmacy).,"Y = Yes
U = Unknown",Drop U,MSR_U
HIR,0.001291956,1.92E-13,categorical,Not Applicable,No,Credit Active - High End Retail,An individual within the household has been reported to have a open credit relationship with a high-end retail department store.,"Y = Yes
U = Unknown",Drop U,HIR_U
TRVL,0.001531321,1.29E-15,categorical,Not Applicable,No,Credit Active - Travel/Personal Services,"An individual within the household has been reported to have a open credit relationship with a travel or personal services affiliate (i.e. airlines, car rental, and gym).","Y = Yes
U = Unknown",Drop U,TRVL_U
SPEC,0.000961372,1.97E-10,categorical,Not Applicable,No,Credit Active - Specialty,"An individual within the household has been reported to have a open credit relationship with a specialty store that sells something specific  (i.e. auto stores, toy stores, jewelry stores, etc.).","Y = Yes
U = Unknown",Drop U,SPEC_U
SPEA,0.000839365,2.57E-09,categorical,Not Applicable,No,Credit Active - Specialty Apparel,An individual within the household has been reported to have a open credit relationship with a mall specialty apparel store.,"Y = Yes
U = Unknown",Drop U,SPEA_U
FINB,0.004290633,1.65E-40,categorical,Not Applicable,No,Credit Active - Financial Services Banking,An individual within the household has been reported by a variety of banks to have a open credit relationship with a bank.,"Y = Yes
U = Unknown",Drop U,FINB_U
FINI,9.30E-06,0.239803653,categorical,Not Applicable,No,Credit Active - Financial Services Insurance,An individual within the household has been reported to have a open credit relationship indicated by a variety of insurance companies.,"Y = Yes
U = Unknown",Drop U,FINI_U
FINC,0.001416422,1.42E-14,categorical,Not Applicable,No,Credit Active - Financial Services Credit,An individual within the household has been reported to have a open credit relationship indicated by a variety of  financial or loan companies.,"Y = Yes
U = Unknown",Drop U,FINC_U
CSR,3.41E-05,0.121189046,categorical,Not Applicable,No,Credit Active - Catalog Showroom Retail,An individual within the household has been reported to have a open credit relationship with a store that sells items that can either be purchased in the standalone store and its corresponding catalog.,"Y = Yes
U = Unknown",Drop U,CSR_U
CE,0.000663132,1.07E-07,categorical,Not Applicable,No,Credit Active - Computer Electronics,An individual within the household has been reported to have currently purchased from both a small or large retail store that carry computers and electronics using a credit card.,"Y = Yes
U = Unknown",Drop U,CE_U
FURN,4.95E-05,0.081522419,categorical,Not Applicable,No,Credit Active - Furniture,An individual within the household has been reported to have a open credit relationship with a furniture store.,"Y = Yes
U = Unknown",Drop U,FURN_U
HOMO,0.000810073,4.78E-09,categorical,Not Applicable,No,Credit Active - Home/Office Supplies,An individual within the household has been reported to have a open credit relationship with a home/office supply store.,"Y = Yes
U = Unknown",Drop U,HOMO_U
HOMI,0.000275781,0.000446676,categorical,Not Applicable,No,Credit Active - Home Improvement,An individual within the household has been reported to have a open credit relationship with a home improvement store.,"Y = Yes
U = Unknown",Drop U,HOMI_U
MEMW,0.000677897,7.84E-08,categorical,Not Applicable,No,Credit Active - Membership Warehouse,An individual within the household has been reported to have a open credit relationship with a warehouse membership store.,"Y = Yes
U = Unknown",Drop U,MEMW_U
SPGD,0.000379073,4.69E-05,categorical,Not Applicable,No,Credit Active - Sporting Goods,An individual within the household have been reported to have a open credit relationship with a purchased from a sporting goods store.,"Y = Yes
U = Unknown",Drop U,SPGD_U
TVMA,0.00024233,0.000934973,categorical,Not Applicable,No,Credit Active - TV/Mail Order Purchases,An individual within the household has been reported to have a open credit relationship with a TV/mail order company.,"Y = Yes
U = Unknown",Drop U,TVMA_U
GROC,NA,NA,categorical,NA,No,Credit Active - Groceries,An individual within the household has been reported to have a open credit relationship with a grocery store.,"Y = Yes
U = Unknown",Drop U,GROC_U
OILC,0.002155265,2.92E-21,categorical,Not Applicable,No,Credit Active - Oil Companies,An individual within the household has been reported to have open credit relationship with an oil company.,"Y = Yes
U = Unknown",Drop U,OILC_U
MISC,0.000352595,8.33E-05,categorical,Not Applicable,No,Credit Active - Miscellaneous,An individual within the household has been reported to have a open credit relationship with a miscellaneous source.,"Y = Yes
U = Unknown",Drop U,MISC_U
CACD,0.003427393,9.81E-33,date,Positive,no,Credit Activity Last Posted Date,The most current credit activity date reported for an individual within this household.  Format is: CCYYMM,CCYYMM,Recode into days since,
TRAD,0.000267329,0.004396658,numeric,Positive,No,Credit Active - Trade Lines,The number of credit lines last reported for this household.,"  Uncoded
0 - 0 Unknown
1 - 1 Tradeline
2 - 2 Tradelines
3 - 3 Tradelines
4 - 4 Tradelines
5 - 5 Tradelines
6 - 6 Tradelines
7 - 7 Tradelines
8 - 8 Tradelines
9 - 9 Tradelines",Drop 0,
CDB1,0.000289526,0.000330227,numeric,Negative,No,Child 1 Date of Birth,Date of birth of a child in the household populated in the first child DOB field.  Format: CCYYMM,"CCYYMM
000000 = Uncoded","Recode To Age, Drop 00000",
CGN1,3.74E-05,0.170689331,categorical,Not Applicable,No,Child 1 Gender,Gender associated with the field Child 1 Date of Birth.,"M = Male
F = Female
blank = Uncoded",Drop blank,
CDB2,0.000188886,0.003084108,date,Negative,no,Child 2 Date of Birth,Date of birth of a child in the household populated in the second child DOB field.  Format: CCYYMM,"CCYYMM
000000 = Uncoded","Recode To Age, Drop 00000",
CGN2,2.00E-05,0.24395495,categorical,Not Applicable,No,Child 2 Gender,Gender associated with the field Child 2 Date of Birth.,"M = Male
F = Female
blank = Uncoded",Drop blank,
CDB3,0.000295761,0.000288017,date,Negative,No,Child 3 Date of Birth,Date of birth of a child in the household populated in the third child DOB field.  Format: CCYYMM,"CCYYMM
000000 = Uncoded","Recode To Age, Drop 00000",
CGN3,8.41E-05,0.065403285,categorical,Not Applicable,No,Child 3 Gender,Gender associated with the field Child 3 Date of Birth.,"M = Male
F = Female
blank = Uncoded",Drop blank,
CDB4,0.000183957,0.003446512,date,Negative,No,Child 4 Date of Birth,Date of birth of a child in the household populated in the fourth child DOB field.  Format: CCYYMM,"CCYYMM
000000 = Uncoded","Recode To Age, Drop 00000",
CGN4,7.62E-05,0.076984684,categorical,Not Applicable,No,Child 4 Gender,Gender associated with the field Child 4 Date of Birth.,"M = Male
F = Female
blank = Uncoded",Drop blank,
CO,-2.39E-05,0.894495522,categorical,Not Applicable,No,Presence of Computer Owner,Compilation of fields indicating the household owns a computer.,"Y = Yes
U = Uncoded",Drop U,CO_U
EMDM,0.00039142,3.59E-05,categorical,Not Applicable,No,Email Access,Indicates the household has access to email.,"  Blank
Y = Yes
U = Unknown",Drop U,EMDM_U
PART,0.00308962,5.24E-28,categorical,Not Applicable,No,Registered Voter Party,"When the individual registered to vote, this was their choice of political party.  This is a combination of historic and recent registrations.","  Uncoded
D - Democrat
I - Independent
R - Republican",,
VOTE,0.000741284,2.05E-08,categorical,Not Applicable,No,Registered Voter Indicator,Indicates an individual has registered to vote.  This is a combination of historic and recent registrations.,"Y = Yes
U = Unknown",Drop U,VOTE_U
CD,2.72E-05,0.145846147,numeric,Positive,Yes,Congressional District,," BLANK
00 - UNKNOWN
01-53 - VALID VALUES
95 - AT LARGE
99 - NOT APPLICABLE",,
HTFH,3.58E-06,0.284140914,categorical,Not Applicable,No,Hunting and Fishing,Indicates an individual has a hunting and/or fishing license.,"  BLANK
Y  Yes
U  Unknown",Drop U,HTFH_U
BOAT,-2.32E-05,0.824590671,categorical,Not Applicable,No,Boating,Indicates an individual within the household has registered a boat.,"  BLANK
Y  Yes
U  Unknown",Drop U,BOAT_U
DNRINDX,0.000107358,0.040586522,categorical,Not Applicable,No,Presence of Donor,Compilation of known and modeled fields indicating the presence of a donor to a charitable organization within the household.,"Y = Donor
P = Probable Donor
U = Unknown
",Drop U,DNRINDX_U
